Venba,Pathavurai
"யானென்போ தத்தா லெழுதாக் கிளவிக்கு
யானே னியம்ப லவையடக்கம் மோன
சமாதியா லுள்ளத்துட் சான்றோர்தே ரந்தப்
புமானதே யிந்நூற் பொறுப்பு",யான் என் போதத்தால் எழுதாக் கிளவிக்கு யான் ஏன் இயம்பல் அவை அடக்கம் மோன சமாதியால் உள்ளத்துள் சான்றோர் தேர் அந்தப் புமானதே இந்நூல் பொறுப்பு
"பேதுகடிந் தென்னையிப் பேறு பெறுவித்தாள்
ஆதலினன் றாக வடைவித்தேன் சூதுவா
தேது மறியாத வீன்றா டிருவுளத்துக்
கீது சமர்ப்பணமா கென்று",பேது கடிந்து என்னை இப் பேறு பெறுவித்தாள் ஆதலின் நன்றாக அடைவித்தேன் சூது வாது ஏதும் அறியாத ஈன்றாள் திரு உளத்துக்கு ஈது சமர்ப்பணம் ஆக என்று
"குருவார்த்தை சிற்சிலவவோர் கோவையாக் கோத்துப்
பரமார்த்த மாகப் பகர்ந்தான் சருவார்த்த
வண்ணமுமவ் வாண்டான் வளர்கழலே யாகவருட்
கண்ணினிற்காண் கண்ணமுரு கன்",குரு வார்த்தை சிற்சில ஓர் கோவையாக் கோத்துப் பரமார்த்தமாகப் பகர்ந்தான் சருவ அர்த்த வண்ணமும் அவ் ஆண்டான் வளர்கழலே ஆக அருள் கண்ணினில் காண் கண்ண முருகன்
"நீர்சூழ் நிலமகள்செய் நீதப் பெருந்தவத்தாற்
பேர்சான்ற சுத்தப் பிரம்மமே சீர்சால்
சகளங்கொள் சீரமண சற்குருசற் போத
வகளங்க பாத மகம்",நீர் சூழ் நிலமகள் செய் நீதப் பெருந் தவத்தால் பேர் சான்ற சுத்தப் பிரம்மமே சீர்சால் சகளம் கொள் சீரமண சற்குரு சத் போத அகளங்க பாதம் அகம்
"எல்லாப் பொருட்கு மிதயமா நின்றவொரு
சொல்லான சுத்த சொரூபமே கல்லார்
மயலகற்று ஞானகுரு வாசகக்கோ வைக்கு
நயனருளு நன்மங் கலம்",எல்லாப் பொருட்கும் இதயமா நின்ற ஒரு சொல்லான சுத்த சொரூபமே கல்லார் மயல் அகற்றும் ஞான குருவாசகக் கோவைக்கு நயன் அருளும் நல் மங்கலம்
"ஞானமயச் செம்பொருளாந் தன்மெய் யநுபவந்தான்
மோனமயப் பண்பான் முயங்குவதாய் நானெனும்பொய்த்
தன்மையதன் மெய்யாய்த் தழைத்தொளிருஞ் சுத்தபரத்
தன்மயமாந் தாளே தலை",ஞானமயச் செம்பொருளாம் தன்மெய் அநுபவம் தான் மோனமயப் பண்பால் முயங்குவதாய் நான் எனும் பொய்த் தன்மை அதன் மெய்யாய்த் தழைத்து ஒளிரும் சுத்த பரத் தன்மயமாம் தாளே தலை
"உள்ளுறவு கொண்டார்க் குவட்டலுறா தார்வமெழும்
தெள்ளுபர மானந்தத் தீங்கனியாய் உள்ளமுறத்
தூண்டா மணிவிளக்காய்த் தூங்காதே தூங்குண்மை
ஆண்டா னருளே பொருள்",உள் உறவு கொண்டார்க்கு உவட்டல் உறாது ஆர்வம் எழும் தெள்ளு பரம் ஆனந்தத் தீம் கனியாய் உள்ளம் உறத் தூண்டா மணிவிளக்காய்த் தூங்காதே தூங்கு உண்மை ஆண்டான் அருளே பொருள்
"உறவொழிவு கூடா வுளமுடையான் ஞானத்
துறவழகு வாய்ந்த சொரூபன் மறவி
யலக்கணற வாண்டா னடிகளே யுண்மை
யிலக்கணங்கட் கெல்லா மிலக்கு",உறவு ஒழிவு கூடா உளம் உடையான் ஞானத் துறவு அழகு வாய்ந்த சொரூபன் மறவி அலக்கண் அற ஆண்டான் அடிகளே உண்மை இலக்கணங்கட்கு எல்லாம் இலக்கு
"காரணமே காரியமாக் காண்டலாற் சாத்திரங்கள்
பேருருவ மாத்திரமாப் பேசலுறும் பேருலகக்
காரணமாஞ் சின்மயந்தான் கைந்நெலிமெய் யாதலினாற்
பேருலக மெய்யெனவே பேசு",காரணமே காரியமாக் காண்டலால் சாத்திரங்கள் பேர் உருவம் மாத்திரமாப் பேசல் உறும் பேர் உலகக் காரணமாம் சின்மயம் தான் கைந்நெலி மெய் ஆதலினால் பேர் உலகம் மெய் எனவே பேசு
"ஈசன் படைப்பா மெதிரிற் புலப்படூஉம்
காசினிமெய் யாகக் களிப்பார்க்குப் பாச
மயற்கற் பனையா மனோமாத் திரமே
துயக்கறுதன் மெய்த்துணிவுற் றோர்க்கு",ஈசன் படைப்பாம் எதிரில் புலப்படூஉம் காசினி மெய்யாகக் களிப்பார்க்குப் பாச மயல் கற்பனையாம் மனோ மாத்திரமே துயக்கு அறு தன்மெய்த் துணிவு உற்றோர்க்கு
"சொச்சபர மான்ம சொரூபத்தி லைம்புலமாம்
துச்சவுரு நாமசகத் தோற்றமந்தச் சச்சிற்
சொரூபமதிற் கற்பிதமாய்த் தோற்றுமன மாயைத்
திருவிளையாட் டென்றே தெரி",சொச்ச பரமான்ம சொரூபத்தில் ஐம்புலமாம் துச்ச உரு நாம சகத் தோற்றம் அந்தச் சத் சித் சொரூபம் அதில் கற்பிதமாய்த் தோற்றும் மன மாயைத் திருவிளையாட்டு என்றே தெரி
"இறைவனது திட்டியிலே யில்லா வுலகை
நிறைபடுமெய் யாக நிகழ்த்தார் நிறைந்த
அறிவுருவாந் தன்னையலா லன்னியமா வொன்றை
அறியா வறிவி னவர்",இறைவனது திட்டியிலே இல்லா உலகை நிறைபடு மெய்யாக நிகழ்த்தார் நிறைந்த அறிவு உருவாம் தன்னை அலால் அன்னியமா ஒன்றை அறியா அறிவினவர்
"இலவுகாத் திட்டகிளி யென்றே புலனாம்
உலகுபொரு எாக்காத் துழல்வோய் உலகு
புலப்படலான் மட்டும் பொருளேற் பொருளாம்
புலப்படலாற் கானற் புனல்",இலவு காத்திட்ட கிளி என்றே புலன் ஆம் உலகு பொருளாக் காத்து உழல்வோய் உலகு புலப்படலால் மட்டும் பொருளேல் பொருள் ஆம் புலப்படலால் கானல் புனல்
"தோற்றத்தை மெய்யாத் தொடராதே காண்சொருபத்
தேற்றத்தை நீங்கித் திகைத்துநீ தோற்றங்
கரப்பதான் மெய்யன்று காண்பான் சொரூபங்
கரப்பதன்று மெய்யதுவே காண்",தோற்றத்தை மெய்யாத் தொடராதே காண் சொருபத் தேற்றத்தை நீங்கித் திகைத்து நீ தோற்றம் கரப்பதால் மெய் அன்று காண்பான் சொரூபம் கரப்பது அன்று மெய் அதுவே காண்
"மாயா விகார மனப்புலத்துக் கல்லாலம்
மாயா விகார மனத்துக்குத் தாயகமா
நின்ற தனக்கு நிகழா திருக்குங்கால்
ஒன்றுமோ வுண்மை யுலகு",மாயா விகார மனப் புலத்துக்கு அல்லால் அம் மாயா விகார மனத்துக்குத் தாய் அகமா நின்ற தனக்கு நிகழாது இருக்குங்கால் ஒன்றுமோ உண்மை உலகு
"சொப்பனமே யாகமருட் சூனியத்தே தோற்றிடுமிவ்
வற்பசமு சாரங்கண் டஞ்சாதீர் சிற்பரமெய்ந்
நேசக் கருத்தூடு நில்லாது காரிருள்சேர்
பாச மனக்கற் பனை",சொப்பனமே ஆக மருள் சூனியத்தே தோற்றிடும் இவ் அற்ப சமுசாரம் கண்டு அஞ்சாதீர் சித்பர மெய்ந் நேசக் கருத்தூடு நில்லாது கார் இருள் சேர் பாச மனக் கற்பனை
"உலகத்துக் கஞ்சி யொடுங்குவீ ருள்ள
உலகத் தலமொன்று மில்லை புலனாகும்
பொய்ச்சகத்துக் கஞ்சல் புரிகயிற்றிற் பொய்ப்பாம்புக்
கச்ச முறுத லனைத்து",உலகத்துக்கு அஞ்சி ஒடுங்குவீர் உள்ள உலகத் தலம் ஒன்றும் இல்லை புலன் ஆகும் பொய்ச் சகத்துக்கு அஞ்சல் புரிகயிற்றில் பொய்ப் பாம்புக்கு அச்சம் உறுதல் அனைத்து
"சங்கற்பத் தோற்றமுள சாக்கிரத்துஞ் சொப்பனத்தும்
பங்கமற விவ்வுலகம் பார்ப்பதலாற் சங்கற்பம்
கிஞ்சித்துந் தோற்றாத கேவலத்துக் காண்பதுண்டோ
சங்கற்பந் தானுலக சத்து",சங்கற்பத் தோற்றம் உள சாக்கிரத்தும் சொப்பனத்தும் பங்கம் அற இவ்வுலகம் பார்ப்பது அலால் சங்கற்பம் கிஞ்சித்தும் தோற்றாத கேவலத்துக் காண்பது உண்டோ சங்கற்பம் தான் உலக சத்து
"சிந்தனையின் மாட்சியே தேறு முலகமெனிற்
சிந்தனையில் லாதமைதி சேர்பொழுதும் முந்தெனவே
சொற்பனம்போ லேனுமெதிர் தோன்றலது முற்பட்ட
கற்பனைவே கத்தாலே காண்",சிந்தனையின் மாட்சியே தேறும் உலகம் எனில் சிந்தனை இல்லாது அமைதி சேர் பொழுதும் முந்து எனவே சொற்பனம் போல் ஏனும் எதிர் தோன்றல் அது முற்பட்ட கற்பனை வேகத்தாலே காண்
"வாயு ளிருந்தே வலைநூல் வெளிப்படுத்தி
வாயுளதை மீள வயப்படுக்கும் மாயச்
சிலந்திபோ லிவ்வுலகைச் சிந்தையுந்தன் னுண்ணின்
றலர்ந்தே யகப்படுக்கு மால்",வாயுள் இருந்தே வலைநூல் வெளிப்படுத்தி வாயுள் அதை மீள வயப்படுக்கும் மாயச் சிலந்திபோல் இவ்வுலகைச் சிந்தையும் தன் உள்நின்று அலர்ந்தே அகப்படுக்கும் ஆல்
"உந்தப் படுவ வுருப்பெயர்தா முண்ணின்றே
சிந்தைபொறி மூளைவழிச் சேருங்கால் சிந்தை
இதயத்தே தங்கி யிருக்குங்கான் மீளப்
புதைவனவாங் கேயவையுட் புக்கு",உந்தப் படுவ உருப் பெயர் தாம் உள் நின்றே சிந்தை பொறி மூளை வழிச் சேருங்கால் சிந்தை இதயத்தே தங்கி இருக்குங்கால் மீளப் புதைவன ஆங்கே அவை உள் புக்கு
"பேருருவத் தாலே பிணங்கும் பிரபஞ்சம்
பேருருவம் பேர்ந்தாற் பிரம்மமாம் பேருருவக்
கற்பனையா லுண்மைக் கடவுளைமீப் போர்த்துலகா
வற்பமதி தான்மருள்கின் றான்",பேர் உருவத்தாலே பிணங்கும் பிரபஞ்சம் பேர் உருவம் பேர்ந்தால் பிரம்மம் ஆம் பேர் உருவக் கற்பனையால் உண்மைக் கடவுளை மீப்போர்த்து உலகா அற்ப மதி தான் மருள்கின்றான்
"தன்னை யுடலாத் தடுமாறும் புந்தியே
துன்னும் பெயருருவத் தோற்றமா மின்னுலகை
யுண்மைபோல் வேட்பித் துறுபாச பந்தத்துட்
டுண்ணென் றகப்படுத்துஞ் சூது",தன்னை உடலாத் தடுமாறும் புந்தியே துன்னும் பெயர் உருவத் தோற்றமாம் மின் உலகை உண்மைபோல் வேட்பித்து உறு பாச பந்தத்துள் துண் என்று அகப்படுத்தும் சூது
"செறியுங் கனசொருப திட்டியிலே யில்பொய்
யறிவின் சுழல்வட்ட மாகும் அறிவின்
இலகுமவ தானத் திருமையொடு மும்மை
உலகவிவ கார முணர்",செறியும் கனசொருப திட்டியிலே இல் பொய் அறிவின் சுழல்வட்டம் ஆகும் அறிவின் இலகும் அவதானத்து இருமையொடு மும்மை உலக விவகாரம் உணர்
"நீதமொடு சான்றோர் நிகழ்த்தும் பரஞான
போதனைதே றாவுலகப் புந்தியோய் வாதனையின்
சூதுகா ணுள்ளபடி சோதிப்பின் மாமோக
வூதுகா மாலை யுலகு",நீதமொடு சான்றோர் நிகழ்த்தும் பரஞான போதனை தேறா உலகப் புந்தியோய் வாதனையின் சூதுகாண் உள்ளபடி சோதிப்பின் மாமோக ஊது காமாலை உலகு
"நிகழ்ந்தவெறு ஞான நிறைவன்றி நின்னால்
முகந்துபுல னாமுலக முற்றும் அகந்தையொடு
வஞ்சக்கா மாதி மருவு மனோமயமாம்
மஞ்சட்கா மாலை மயக்கு",நிகழ்ந்த வெறு ஞான நிறைவு அன்றி நின்னால் முகந்து புலனாம் உலகம் முற்றும் அகந்தையொடு வஞ்சக் காமாதி மருவும் மனோமயம் ஆம் மஞ்சள் காமாலை மயக்கு
"ஞான வெயின்முன் னலிதலான் மஞ்சள்போற்
பானுவா மீசன் படைப்பன்று பானசகம்
பீலிக்கண் ணேரும் பெருஞ்சித் திரஞ்சித்த
நீலிக்கண் ணாடி நிழல்",ஞான வெயில் முன் நலிதலால் மஞ்சள்போல் பானுவாம் ஈசன் படைப்பன்று பான சகம் பீலிக்கண் நேரும் பெரும் சித்திரம் சித்த நீலிக் கண்ணாடி நிழல்
"ஆன்ம சொரூபஞா னானுபவத் திவ்வகிலம்
வான்மருவு பைஞ்ஞ்ல வண்ணமே ஊன்மயல்சே
ராணவமோ கத்தா லலமந்து சுட்டறிவாற்
காணுமவை கற்பனையே காண்",ஆன்ம சொரூப ஞானானுபவத்து இவ் அகிலம் வான் மருவு பைஞ்ஞ்ல வண்ணமே ஊன் மயல் சேர் ஆணவ மோகத்தால் அலமந்து சுட்டறிவால் காணும் அவை கற்பனையே காண்
"எல்லார்தம் புந்தியையு மேமாற்றஞ் செய்துழக்கும்
பொல்லாத விப்பெரும் பொய்யுலகு புல்லாது
தன்னைத்தான் சோர்ந்த தவற்றாலே யன்றிமற்
றென்னத்தா லும்வந்த தின்று",எல்லார்தம் புந்தியையும் ஏமாற்றம் செய்து உழக்கும் பொல்லாத இப்பெரும் பொய் உலகு புல்லாது தன்னைத் தான் சோர்ந்த தவற்றாலே அன்றி மற்று என்னத்தாலும் வந்தது இன்று
"வேட்கைவெறுப் பாதி விராய்நடக்கு மிவ்வுலக
வாழ்க்கைமயல் வந்த வறுங்கனா தூக்கப்
பொழுதுண்மை போலப் புலப்பட்டு மெய்யா
விழித்தக் கடைவெறும் பொய்",வேட்கை வெறுப்பு ஆதி விராய் நடக்கும் இவ்வுலக வாழ்க்கை மயல் வந்த வறும் கனா தூக்கப் பொழுது உண்மை போலப் புலப்பட்டு மெய்யா விழித்தக்கடை வெறும் பொய்
"இச்சை முதலா வியலும்பல் சத்திகளும்
சொச்சமாந் தன்சிற் சொரூபத்தே மிச்சையாங்
கற்பனையாத் தீரக் கழல்வனகாண் தன்சொருபச்
சிற்பரத்தே சித்தமற்றக் கால்",இச்சை முதலா இயலும் பல் சத்திகளும் சொச்சம் ஆம் தன் சித் சொரூபத்தே மிச்சை ஆம் கற்பனையாத் தீரக் கழல்வன காண் தன் சொருபச் சிற்பரத்தே சித்தம் அற்றக்கால்
"சிற்பர மான சிவமதிட் டானமா
நிற்பவதன் மாட்டு நிகழ்வனவாம் சிற்பரா
சத்தி விலாசமாச் சாருஞ் சகவடிவச்
சித்திரமா முப்புடி தேர்",சிற்பரம் ஆன சிவம் அதிட்டானமா நிற்ப அதன் மாட்டு நிகழ்வனவாம் சித் பரா சத்தி விலாசமாச் சாரும் சக வடிவச் சித்திரம் ஆம் முப்புடி தேர்
"கயிற்றரவுங் குற்றிக்கட் கள்வனுமே யன்றி
மயற்றகைசேர் பேய்த்தேரு மானும் இயற்கைத்தால்
உண்மையிலே யில்லா வுலகம் புலப்பாட்டால்
இன்மையிலே யுள்ள வியல்பு",கயிற்று அரவும் குற்றிக்கண் கள்வனுமே அன்றி மயல் தகை சேர் பேய்த்தேரும் மானும் இயற்கைத்து ஆல் உண்மையிலே இல்லா உலகம் புலப்பாட்டால் இன்மையிலே உள்ள இயல்பு
"பொன்னிடத்துத் தோன்றிப் பொலியும் பலவணிபோற்
றன்னிடத்துத் தோன்றுஞ் சராசரங்கள் தன்னையொழிந்
தன்னியமோ வல்ல வவிரும் பலவணியும்
பொன்னியலே யாமாறு போல்",பொன் இடத்துத் தோன்றிப் பொலியும் பல அணிபோல் தன் இடத்துத் தோன்றும் சராசரங்கள் தன்னை ஒழிந்து அன்னியமோ அல்ல அவிரும் பல அணியும் பொன் இயலே ஆமாறு போல்
"இகத்திற் பரங்கரக்கு மின்றேற் பரத்தி
லிகங்கரக்கு மன்றி யிரண்டும் வகைப்படவெவ்
வேறா வொருங்கு விளங்கலிலை நாய்கல்வெவ்
வேறா வொருங்குவிளங் கா",இகத்தில் பரம் கரக்கும் இன்றேல் பரத்தில் இகம் கரக்கும் அன்றி இரண்டும் வகைப்பட வெவ்வேறா ஒருங்கு விளங்கல் இலை நாய் கல் வெவ்வேறா ஒருங்கு விளங்கா
"ஆன்ம சொரூபத்தை யாச்சா தனஞ்செய்து
தோன்று முலகுகனாத் தோற்றமே தோன்றுமுல
கான்ம சொரூபத்தா லாச்சா தனமெய்தின்
ஆன்ம சொரூபமே யாம்",ஆன்ம சொரூபத்தை ஆச்சாதனம் செய்து தோன்றும் உலகு கனாத் தோற்றமே தோன்றும் உலகு ஆன்ம சொருூபத்தால் ஆச்சாதனம் எய்தின் ஆன்ம சொரூபமே ஆம்
"தப்பருமெய் போலத் தடுமாற்றஞ் செய்யுமிந்த
முப்புரிசேர் மோக வுலகுமுற்றுந் தற்பரமாந்
தன்னையன்றி யில்லாதாய்த் தன்னிலே யென்றென்றும்
மன்னியசிற் சத்தி வடிவு",தப்பு அரு மெய் போலத் தடுமாற்றம் செய்யும் இந்த முப்புரி சேர் மோக உலகு முற்றும் தத் பரம் ஆம் தன்னை அன்றி இல்லாதாய்த் தன்னிலே என்றென்றும் மன்னிய சித் சத்தி வடிவு
"புகையான்மூ டுண்டொளிர்தீப் போலே யுலகத்
தொகையான்மூ டுண்டொளிர்சிற் சோதித் தகையாம்
திருவருளாற் சிந்தை தெளிந்தக்கான் மெய்யே
மருளுருவ மன்றுலக மாண்பு",புகையால் மூடுண்டு ஒளிர் தீப்போலே உலகத் தொகையால் மூடுண்டு ஒளிர் சித் ே தகை ஆம் திரு அருளால் சிந்தை தெளிந்தக்கால் மெய்யே மருள் உருவம் அன்று மாண்பு
"அறிவுகளுக் கெல்லா மடிப்படையா மம்மெய்
யறிவுவிடார்க் கம்மயமே யாகும் குறியதனால்
அன்னா ரவைகளுமெய் யாமெனலை யவ்வறிவு
துன்னார் துணித லெவன்",அறிவுகளுக்கு எல்லாம் அடிப்படையாம் அம்மெய் அறிவு விடார்க்கு அம்மயமே ஆகும் குறி அதனால் அன்னார் அவைகளும் மெய்யாம் எனலை அவ்வறிவு துன்னார் துணிதல் எவன்
"உலகுணர்வொன் றோவதனோ டொட்டாதுந் தானே
இலகுபர வுண்மையுணர் வேயும் குலவி
மலவன்மை மாய்ந்தமன மாந்தரே மன்ற
உலகுண்மை யர்த்தமுணர் வோர்",உலகுணர்வு ஒன்றோ அதனோடு ஒட்டாதும் தானே இலகு பர உண்மை உணர்வேயும் குலவி மல வன்மை மாய்ந்த மன மாந்தரே மன்ற உலகு உண்மை அர்த்தம் உணர்வோர்
"ஞானமய மாகத்தன் னாட்டத்தை மாற்றிமெய்ஞ்
ஞானமய மானவந்் நாட்டத்தாற் றானாடின்
வானமுத லைம்பூத வையகமு மெய்யாகும்
ஞானமயச் செம்பொருளா நாடு",ஞானமயம் ஆகத் தன் நாட்டத்தை மாற்றி மெய்ஞ் ஞானமயம் ஆன அந் நாட்டத்தால் தான் நாடின் வானம் முதல் ஐம்பூத வையகமும் மெய் ஆகும் ஞானமயச் செம்பொருளா நாடு
"துன்பக் கடலாகத் தோன்றிவ் வுலகம்பே
ரின்பக் கடலா வியல்வதாம் தன்பொக்கப்
பார்வையைமெய்ஞ் ஞானப் பரவடிவாப் பண்ணியந்தப்
பார்வையாற் பார்க்கப் படின்",துன்பக் கடலாகத் தோன்று இவ் உலகம் பேர் இன்பக் கடலா இயல்வதாம் தன் பாக்கப் பார்வையை மய்ஞ்ஞானப் பரவடிவாப் பண் அந்தப் பார்வையால் பார்க்கப்படின்
"சேட்டையற லாற்சச் சிதானந்த மாத்தீர்ந்த
நாட்டமுறக் காணுமெய்ஞ் ஞானிக்கு நாட்டமுறும்
கண்ணலாற் காட்சியிலாக் காரணத்தா லன்னதே
திண்ணமா யிவ்வுலகுந் தேர்",சேட்டை அறலால் சத் சித் ஆனந்தமாத் தீர்ந்த நாட்டம் உறக் காணும் மெய்ஞ்ஞானிக்கு நாட்டம் உறும் கண் அலால் காட்சி இலாக் காரணத்தால் அன்னதே திண்ணமாய் இவ்வுலகும் தேர்
"மனமாயை விஞ்சி வயங்குசச் சித்தாம்
கனமாய காட்சிக்கே காணும் கனவின்
மயங்குநோக் காய மனோமாத் திரமாய்
இயங்குலகக் காட்சி யியல்பு",மனமாயை விஞ்சி வயங்கு சத் சித் ஆம் கனம் ஆய காட்சிக்கே காணும் கனவின் மயங்கு நோக்கு ஆய மனோமாத்திரமாய் இயங்கு உலகக் காட்சி இயல்பு
"நின்மயமே யாக நிகழ்கனவைக் கண்டுநிதம்
மன்மயங்கு மாய மடநெஞ்சே நின்மெய்ந்
நிறத்தைநீ காண்டியே லுண்மையறி வின்பப்
புறத்ததோ விந்தப் புவி",நின்மயமே ஆக நிகழ் கனவைக் கண்டு நிதம் மல் மயங்கும் மாய மடநெஞ்சே நின் மெய்ந் நிறத்தை நீ காண்டியேல் உண்மை அறிவு இன்பப் புறத்ததோ இந்தப் புவி
"குலவுமெய்ஞ் ஞானக் குறிக்கோளர் பாராப்
பலவிகற்ப மென்றுந்தாம் பாரார் உலகாத்
திரள்விகற்பம் முற்றுமொரே சிற்சத்தி யான
வருள்விலா சத்தளவே யாம்",குலவு மெய்ஞ்ஞானக் குறிக்கோளர் பாராப் பல விகற்பம் என்றும் தாம் பாரார் உலகாத் திரள் விகற்பம் முற்றும் ஒரே சித்சத்தி ஆன அருள் விலாசத்து அளவே ஆம்
"துன்னு முடலகந்தைத் தொற்றற்றுத் தன்னிலையின்
மன்னியமெய்ஞ் ஞான வரனுக்குத் தன்னுருவாம்
போதமே யாகப் பொலிதலா லிவ்வுலகம்
பேதமா நோக்கல் பிழை",துன்னும் உடல் அகந்தைத் தொற்று அற்றுத் தன் நிலையில் மன்னிய மெய்ஞ்ஞான வரனுக்குத் தன் உருவாம் போதமே ஆகப் பொலிதலால் இவ்வுலகம் பேதமா நோக்கல் பிழை
"உலகத்தைப் பாழி லொடுக்கு முகத்தா
லுலகக் கலக்கமற வோட்டி உலகந்தீர்
பாழை விடயமாப் பார்ப்பான் சொரூபவறி
வாழியினப் பாழை யழி",உலகத்தைப் பாழில் ஒடுக்கும் முகத்தால் உலகக் கலக்கம் அற ஓட்டி உலகம் தீர் பாழை விடயமாப் பார்ப்பான் சொரூப அறிவு ஆழியின் அப் பாழை அழி
"எச்சித்தாய் நின்றொளிரு மெல்லாமே நீயந்தச்
சச்சித்தா யுள்ளந் தரித்துவிடில் அச்சந்
தருமயல்சேர் பொய்த்துவிதத் தன்மைபோய் நின்னோ
டொருமயமா மிந்த வுலகு",எச்சித்தாய் நின்று ஒளிரும் எல்லாமே நீ அந்தச் சத்சித்தாய் உள்ளம் தரித்துவிடில் அச்சம் தரு மயல்சேர் பொய்த் துவிதத் தன்மை போய் நின்னோடு ஒருமயம் ஆம் இந்த உலகு
